Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Characteristics[Culture]	Characteristics[CultureTemperature]	Unit[TemperatureUnit]	Characteristics[CultureTime]	Unit[TimeUnit]	Characteristics[Sex]	Characteristics[Strain]	Characteristics[BaermannTemperature]	Unit[TemperatureUnit]	Characteristics[Baermann_time&temp]	Unit[TimeUnit]	Characteristics[Wash]	Characteristics[AgaroseMigrationTemperature]	Unit[TemperatureUnit]	Characteristics[AgaroseMigrationTtime]	Unit[TimeUnit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment [ORIENTATION]	Comment [NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[quality_scoring_system]	Comment[quality_encoding]	Comment[ascii_offset]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[DevelopmentalStage]
PFL_L1_20110930	ERS152070	whole organism	Strongyloides stercoralis	Post free living first stage larvae	Incubated	21	degree celsius	72	hour	Female	PV001	29	degree celsius	2	hour	na	29	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PFL_L1_20110930	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	169	52.41	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PFL_L1_20110930	high_throughput_sequencing	ERX122874	P-MTAB-27187	PFL_L1_20110930_2.fastq.gz	PFL_L1_20110930_2.fastq.gz	ERR146950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146950/ERR146950_2.fastq.gz	100	101	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PFL_L1_20111010	ERS152068	whole organism	Strongyloides stercoralis	Post free living first stage larvae	Incubated	20.5	degree celsius	72	hour	Female	PV001	29	degree celsius	2	hour	na	28.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PFL_L1_20111010	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	173	58.42	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PFL_L1_20111010	high_throughput_sequencing	ERX122872	P-MTAB-27187	PFL_L1_20111010_2.fastq.gz	PFL_L1_20111010_2.fastq.gz	ERR146951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146951/ERR146951_2.fastq.gz	100	101	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PFL_L1_20111017	ERS152065	whole organism	Strongyloides stercoralis	Post free living first stage larvae	Incubated	20.5	degree celsius	72	day	Female	PV001	29	degree celsius	2	hour	na	29.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PFL_L1_20111017	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	177	62.29	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PFL_L1_20111017	high_throughput_sequencing	ERX122869	P-MTAB-27187	PFL_L1_20111017_2.fastq.gz	PFL_L1_20111017_2.fastq.gz	ERR146952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146952/ERR146952_2.fastq.gz	100	101	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L3i_20110803	ERS152079	whole organism	Strongyloides stercoralis	Young infectious third stage larvae	Incubated	21	degree celsius	8	day	Female	PV001	30	degree celsius	1	hour	na	28.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3i_20110803	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	171	56.69	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3i_20110803	high_throughput_sequencing	ERX122883	P-MTAB-27187	L3i_20110803_2.fastq.gz	L3i_20110803_2.fastq.gz	ERR146947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146947/ERR146947_2.fastq.gz	100	101	Young infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L3i_20110923	ERS152067	whole organism	Strongyloides stercoralis	Infectious third stage larvae	Incubated	25	degree celsius	7	day	Female	PV001	28	degree celsius	1	hour	Washed_in_deionized_water	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3i_20110923	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	169	52.7	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3i_20110923	high_throughput_sequencing	ERX122871	P-MTAB-27187	L3i_20110923_2.fastq.gz	L3i_20110923_2.fastq.gz	ERR146948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146948/ERR146948_2.fastq.gz	100	101	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L3i_20111104	ERS152076	whole organism	Strongyloides stercoralis	Infectious third stage larvae	Incubated	21	degree celsius	10	day	Female	PV001	27	degree celsius	1	hour	Washed_in_deionized_water	27.5	degree celsius	0.5	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3i_20111104	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	171	52.3	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3i_20111104	high_throughput_sequencing	ERX122880	P-MTAB-27187	L3i_20111104_2.fastq.gz	L3i_20111104_2.fastq.gz	ERR146949	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146949/ERR146949_2.fastq.gz	100	101	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L3_plus_g1	ERS152078	whole organism	Strongyloides stercoralis	Tissue migrating third stage larvae	In vivo	na	degree celsius	3	day	Female	PV001	na	degree celsius	na	hour	Washed_several_times_in_DMEM+Gentamicin_at_37C	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3_plus_g1	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	176	60.23	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3_plus_g1	high_throughput_sequencing	ERX122882	P-MTAB-27187	L3_plus_g1_2.fastq.gz	L3_plus_g1_2.fastq.gz	ERR146944	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146944/ERR146944_2.fastq.gz	100	101	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L3_plus_g2	ERS152075	whole organism	Strongyloides stercoralis	Tissue migrating third stage larvae	In vivo	na	degree celsius	3	day	Female	PV001	na	degree celsius	na	hour	Washed_several_times_in_DMEM+Gentamicin_at_37C	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3_plus_g2	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	178	60.75	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3_plus_g2	high_throughput_sequencing	ERX122879	P-MTAB-27187	L3_plus_g2_2.fastq.gz	L3_plus_g2_2.fastq.gz	ERR146945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146945/ERR146945_2.fastq.gz	100	101	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L3_plus_g3	ERS152081	whole organism	Strongyloides stercoralis	Tissue migrating third stage larvae	In vivo	na	degree celsius	3	day	Female	PV001	na	degree celsius	na	hour	Washed_several_times_in_DMEM+Gentamicin_at_37C	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3_plus_g3	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	170	52.17	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3_plus_g3	high_throughput_sequencing	ERX122885	P-MTAB-27187	L3_plus_g3_2.fastq.gz	L3_plus_g3_2.fastq.gz	ERR146946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146946/ERR146946_2.fastq.gz	100	101	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      
P_Female_g1	ERS152066	whole organism	Strongyloides stercoralis	Gravid parasitic females	In vivo	na	degree celsius	21	day	Female	PV001	na	degree celsius	na	hour	Picked_to_warmed_DMEM+Gentamicin	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	P_Female_g1	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	57.72	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	P_Female_g1	high_throughput_sequencing	ERX122870	P-MTAB-27187	P_Female_g1_2.fastq.gz	P_Female_g1_2.fastq.gz	ERR146959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146959/ERR146959_2.fastq.gz	100	101	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
P_Female_g2	ERS152074	whole organism	Strongyloides stercoralis	Gravid parasitic females	In vivo	na	degree celsius	21	day	Female	PV001	na	degree celsius	na	hour	Picked_to_warmed_DMEM+Gentamicin	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	P_Female_g2	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	57.02	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	P_Female_g2	high_throughput_sequencing	ERX122878	P-MTAB-27187	P_Female_g2_2.fastq.gz	P_Female_g2_2.fastq.gz	ERR146960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146960/ERR146960_2.fastq.gz	100	101	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
P_Female_g3	ERS152072	whole organism	Strongyloides stercoralis	Gravid parasitic females	In vivo	na	degree celsius	21	day	Female	PV001	na	degree celsius	na	hour	Picked_to_warmed_DMEM+Gentamicin	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	P_Female_g3	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	175	58.94	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	P_Female_g3	high_throughput_sequencing	ERX122876	P-MTAB-27187	P_Female_g3_2.fastq.gz	P_Female_g3_2.fastq.gz	ERR146961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146961/ERR146961_2.fastq.gz	100	101	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
